"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","2.150","2.210","2.220","2.120","3.86M","-1.83%"
"05/09/2024","2.190","2.160","2.230","2.140","1.63M","0.92%"
"05/08/2024","2.170","2.140","2.200","2.048","3.63M","0.00%"
"05/07/2024","2.170","2.250","2.250","2.130","3.69M","-5.24%"
"05/06/2024","2.290","2.240","2.320","2.235","4.35M","4.09%"
"05/03/2024","2.200","2.170","2.250","2.170","4.63M","2.33%"
"05/02/2024","2.150","2.090","2.150","2.010","3.89M","6.97%"
"05/01/2024","2.010","1.960","2.110","1.895","3.61M","-0.99%"
"04/30/2024","2.030","2.110","2.135","1.935","5.90M","-5.58%"
"04/29/2024","2.150","2.270","2.270","2.120","3.87M","-6.93%"
"04/26/2024","2.310","2.200","2.330","2.180","4.38M","3.59%"
"04/25/2024","2.230","2.130","2.230","2.010","3.45M","-0.45%"
"04/24/2024","2.240","2.220","2.310","2.130","8.98M","0.90%"
"04/23/2024","2.220","2.190","2.290","2.140","7.44M","1.37%"
"04/22/2024","2.190","1.990","2.190","1.920","9.13M","10.61%"
"04/19/2024","1.980","1.980","2.045","1.935","5.08M","2.59%"
"04/18/2024","1.930","1.840","1.990","1.790","4.47M","6.63%"
"04/17/2024","1.810","1.870","1.910","1.760","4.45M","-0.55%"
"04/16/2024","1.820","1.850","1.870","1.760","5.91M","-3.19%"
"04/15/2024","1.880","2.070","2.085","1.860","8.64M","-8.74%"
"04/12/2024","2.060","2.220","2.230","2.050","4.79M","-8.44%"
"04/11/2024","2.250","2.230","2.280","2.120","4.04M","1.81%"
"04/10/2024","2.210","2.220","2.300","2.190","5.19M","-3.49%"
"04/09/2024","2.290","2.360","2.390","2.250","5.45M","-2.97%"
"04/08/2024","2.360","2.530","2.540","2.320","5.85M","-2.07%"
"04/05/2024","2.410","2.350","2.520","2.300","6.22M","0.00%"
"04/04/2024","2.410","2.490","2.590","2.400","7.15M","-0.41%"
"04/03/2024","2.420","2.490","2.510","2.380","4.03M","-1.63%"
"04/02/2024","2.460","2.580","2.595","2.450","4.41M","-10.87%"
"04/01/2024","2.760","2.850","2.900","2.660","7.85M","-3.83%"
"03/28/2024","2.870","2.580","2.960","2.520","17.00M","14.80%"
"03/27/2024","2.500","2.360","2.580","2.315","9.69M","9.65%"
"03/26/2024","2.280","2.460","2.474","2.270","6.48M","-5.39%"
"03/25/2024","2.410","2.460","2.570","2.400","8.38M","0.84%"
"03/22/2024","2.390","2.530","2.530","2.330","5.60M","-6.64%"
"03/21/2024","2.560","2.550","2.655","2.490","8.20M","1.19%"
"03/20/2024","2.530","2.120","2.530","2.105","12.96M","18.22%"
"03/19/2024","2.140","2.160","2.210","2.035","6.40M","-1.38%"
"03/18/2024","2.170","2.230","2.270","2.115","6.87M","-1.81%"
"03/15/2024","2.210","2.040","2.220","2.030","9.26M","5.24%"
"03/14/2024","2.100","2.220","2.220","2.070","5.77M","-6.67%"
"03/13/2024","2.250","2.230","2.350","2.210","5.43M","0.45%"
"03/12/2024","2.240","2.300","2.310","2.170","8.65M","-4.68%"
"03/11/2024","2.350","2.530","2.550","2.330","6.74M","-4.86%"
"03/08/2024","2.470","2.340","2.600","2.340","7.59M","6.01%"
"03/07/2024","2.330","2.340","2.425","2.270","4.57M","-0.85%"
"03/06/2024","2.350","2.440","2.460","2.195","9.14M","-1.05%"
"03/05/2024","2.375","2.460","2.600","2.370","6.80M","-5.38%"
"03/04/2024","2.510","2.760","2.835","2.430","10.43M","-7.38%"
"03/01/2024","2.710","2.620","2.715","2.510","6.69M","4.23%"
"02/29/2024","2.600","2.910","2.930","2.570","8.27M","-6.81%"
"02/28/2024","2.790","3.250","3.250","2.770","16.63M","-10.00%"
"02/27/2024","3.100","3.320","3.340","2.920","14.38M","-1.27%"
"02/26/2024","3.140","2.690","3.160","2.684","15.74M","17.16%"
"02/23/2024","2.680","2.680","2.700","2.550","6.37M","-2.55%"
"02/22/2024","2.750","2.790","2.850","2.720","6.37M","1.10%"
"02/21/2024","2.720","2.730","2.860","2.720","6.16M","-5.23%"
"02/20/2024","2.870","3.110","3.200","2.765","9.06M","-6.51%"
"02/16/2024","3.070","3.170","3.300","2.990","10.29M","-0.65%"
"02/15/2024","3.090","3.450","3.500","3.050","13.95M","-8.17%"
"02/14/2024","3.365","3.321","3.460","3.250","11.27M","10.33%"
"02/13/2024","3.050","3.050","3.210","2.940","7.71M","-7.01%"
"02/12/2024","3.280","3.050","3.350","3.040","13.68M","7.89%"
"02/09/2024","3.040","2.990","3.060","2.840","12.91M","10.95%"
"02/08/2024","2.740","2.510","2.755","2.485","8.60M","12.76%"
"02/07/2024","2.430","2.470","2.488","2.274","5.69M","-1.22%"
"02/06/2024","2.460","2.390","2.500","2.340","3.67M","2.50%"
"02/05/2024","2.400","2.560","2.570","2.400","3.60M","-6.25%"
"02/02/2024","2.560","2.620","2.666","2.500","3.77M","-4.83%"
"02/01/2024","2.690","2.700","2.775","2.580","4.57M","1.89%"
"01/31/2024","2.640","2.750","2.885","2.640","8.78M","-6.38%"
"01/30/2024","2.820","2.930","3.020","2.780","5.41M","-4.41%"
"01/29/2024","2.950","2.860","3.035","2.760","7.30M","5.36%"
"01/26/2024","2.800","2.690","2.835","2.660","7.28M","9.38%"
"01/25/2024","2.560","2.480","2.589","2.460","4.86M","3.64%"
"01/24/2024","2.470","2.600","2.720","2.432","4.66M","-1.59%"
"01/23/2024","2.510","2.530","2.620","2.472","4.62M","-3.83%"
"01/22/2024","2.610","2.460","2.700","2.430","5.86M","3.16%"
"01/19/2024","2.530","2.460","2.590","2.340","7.88M","2.02%"
"01/18/2024","2.480","2.760","2.815","2.450","7.28M","-7.81%"
"01/17/2024","2.690","2.670","2.727","2.620","5.64M","-3.24%"
"01/16/2024","2.780","2.840","2.950","2.725","7.28M","-4.79%"
"01/12/2024","2.920","3.110","3.200","2.890","10.65M","-7.59%"
"01/11/2024","3.160","3.880","3.900","3.130","17.45M","-8.67%"
"01/10/2024","3.460","3.360","3.620","3.300","9.48M","-0.57%"
"01/09/2024","3.480","3.660","3.720","3.480","7.70M","-7.20%"
"01/08/2024","3.750","3.730","3.880","3.429","11.54M","4.75%"
"01/05/2024","3.580","3.750","3.790","3.430","6.90M","-6.77%"
"01/04/2024","3.840","3.760","4.120","3.620","9.67M","2.95%"
"01/03/2024","3.730","3.455","3.910","3.360","13.04M","-2.10%"
"01/02/2024","3.810","4.830","4.849","3.760","17.87M","-9.93%"
"12/29/2023","4.230","5.200","5.270","4.080","25.13M","-16.90%"
"12/28/2023","5.090","4.750","5.200","4.640","22.50M","2.21%"
