"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","5.50","5.78","5.95","5.45","477.46K","-5.01%"
"05/09/2024","5.79","5.78","5.84","5.56","313.48K","2.48%"
"05/08/2024","5.65","5.65","5.67","5.44","464.33K","-1.74%"
"05/07/2024","5.75","5.80","5.89","5.68","519.92K","-1.54%"
"05/06/2024","5.84","5.89","6.10","5.81","623.77K","1.74%"
"05/03/2024","5.74","5.78","5.87","5.54","495.50K","1.77%"
"05/02/2024","5.64","5.60","5.79","5.44","608.49K","2.55%"
"05/01/2024","5.50","5.50","5.82","5.37","617.04K","0.18%"
"04/30/2024","5.49","5.98","5.98","5.47","834.19K","-8.96%"
"04/29/2024","6.03","6.29","6.29","5.89","708.21K","-5.04%"
"04/26/2024","6.35","6.48","6.59","6.30","523.02K","-1.70%"
"04/25/2024","6.46","6.21","6.51","6.13","546.03K","-0.31%"
"04/24/2024","6.48","6.59","6.83","6.41","615.04K","-3.43%"
"04/23/2024","6.71","6.55","6.99","6.44","957.49K","0.90%"
"04/22/2024","6.65","6.12","6.67","5.94","1.03M","10.47%"
"04/19/2024","6.02","5.71","6.17","5.71","645.16K","5.80%"
"04/18/2024","5.69","5.55","5.87","5.28","818.21K","2.71%"
"04/17/2024","5.54","5.58","5.77","5.33","699.58K","2.21%"
"04/16/2024","5.42","5.50","5.58","5.23","897.05K","-4.07%"
"04/15/2024","5.65","6.27","6.33","5.60","1.17M","-6.46%"
"04/12/2024","6.04","6.59","6.60","5.90","1.43M","-8.07%"
"04/11/2024","6.57","6.68","6.73","6.46","676.78K","-1.50%"
"04/10/2024","6.67","6.68","6.85","6.58","699.07K","-2.06%"
"04/09/2024","6.81","7.22","7.25","6.72","782.89K","-4.08%"
"04/08/2024","7.10","7.10","7.38","7.01","1.00M","0.71%"
"04/05/2024","7.05","6.98","7.22","6.90","423.80K","0.14%"
"04/04/2024","7.04","7.00","7.55","6.95","972.16K","1.44%"
"04/03/2024","6.94","6.97","7.27","6.88","868.43K","-0.86%"
"04/02/2024","7.00","6.67","7.10","6.50","1.01M","0.57%"
"04/01/2024","6.96","6.95","7.08","6.65","1.06M","-0.85%"
"03/28/2024","7.02","6.96","7.34","6.83","1.73M","1.45%"
"03/27/2024","6.92","7.00","7.13","6.82","755.28K","-0.14%"
"03/26/2024","6.93","7.21","7.27","6.78","1.52M","-3.88%"
"03/25/2024","7.21","7.25","7.38","6.90","1.94M","0.70%"
"03/22/2024","7.16","7.50","7.63","6.98","1.68M","-9.94%"
"03/21/2024","7.95","7.94","8.15","7.68","2.22M","-4.68%"
"03/20/2024","8.34","7.30","8.34","7.01","3.39M","12.25%"
"03/19/2024","7.43","6.90","7.45","6.50","2.11M","0.41%"
"03/18/2024","7.40","7.75","7.77","6.95","2.37M","-7.50%"
"03/15/2024","8.00","6.46","8.07","6.40","4.30M","23.84%"
"03/14/2024","6.46","6.62","6.66","6.19","1.17M","-4.15%"
"03/13/2024","6.74","6.57","6.95","6.53","1.41M","7.15%"
"03/12/2024","6.29","6.60","6.61","5.69","1.89M","-0.63%"
"03/11/2024","6.33","7.53","7.57","6.31","2.86M","-13.99%"
"03/08/2024","7.36","7.00","7.50","6.97","1.09M","7.13%"
"03/07/2024","6.87","6.53","7.04","6.41","1.15M","4.25%"
"03/06/2024","6.59","6.67","6.92","6.17","1.77M","1.70%"
"03/05/2024","6.48","6.50","6.81","6.41","1.94M","-5.12%"
"03/04/2024","6.83","7.50","7.87","6.38","3.67M","1.04%"
"03/01/2024","6.76","6.76","6.87","6.32","1.22M","2.11%"
"02/29/2024","6.62","7.39","7.60","6.58","2.50M","-7.80%"
"02/28/2024","7.18","8.18","8.19","6.93","3.15M","-8.65%"
"02/27/2024","7.86","8.36","8.55","7.71","3.39M","-1.87%"
"02/26/2024","8.01","6.70","8.09","6.60","3.20M","23.61%"
"02/23/2024","6.48","6.75","6.75","6.35","1.15M","-4.42%"
"02/22/2024","6.78","6.75","6.96","6.56","995.14K","1.04%"
"02/21/2024","6.71","6.90","6.95","6.48","1.33M","-6.42%"
"02/20/2024","7.17","7.16","7.50","6.90","1.61M","3.46%"
"02/16/2024","6.93","7.73","7.78","6.91","2.91M","-7.48%"
"02/15/2024","7.49","8.74","9.08","7.48","3.66M","-14.40%"
"02/14/2024","8.75","8.90","9.17","8.42","2.02M","9.92%"
"02/13/2024","7.96","8.40","8.85","7.87","2.30M","-13.10%"
"02/12/2024","9.16","8.00","9.70","7.94","3.23M","16.10%"
"02/09/2024","7.89","8.92","8.97","7.79","2.77M","-4.36%"
"02/08/2024","8.25","7.67","8.70","7.65","2.10M","16.36%"
"02/07/2024","7.09","6.90","7.20","6.61","818.12K","4.57%"
"02/06/2024","6.78","6.98","7.12","6.62","1.35M","-2.16%"
"02/05/2024","6.93","7.39","7.46","6.86","1.46M","-9.53%"
"02/02/2024","7.66","7.80","8.08","7.41","1.20M","-3.53%"
"02/01/2024","7.94","8.15","8.39","7.61","1.34M","-3.05%"
"01/31/2024","8.19","8.59","8.80","7.76","2.39M","-8.80%"
"01/30/2024","8.98","8.80","9.80","8.09","2.88M","-0.11%"
"01/29/2024","8.99","7.87","9.20","7.20","3.18M","18.29%"
"01/26/2024","7.60","7.00","7.60","6.84","1.71M","15.15%"
"01/25/2024","6.60","6.48","6.79","6.32","424.96K","5.77%"
"01/24/2024","6.24","6.44","6.74","6.23","403.56K","1.46%"
"01/23/2024","6.15","6.53","6.69","6.14","1.17M","-9.56%"
"01/22/2024","6.80","6.30","6.95","6.23","560.34K","6.25%"
"01/19/2024","6.40","6.48","6.57","6.02","621.20K","3.39%"
"01/18/2024","6.19","6.51","7.24","6.05","1.11M","-5.21%"
"01/17/2024","6.53","6.26","6.69","6.13","667.63K","-2.83%"
"01/16/2024","6.72","6.23","7.04","5.71","1.77M","9.27%"
"01/12/2024","6.15","6.99","7.02","6.03","1.75M","-14.46%"
"01/11/2024","7.19","8.59","8.80","6.82","2.71M","-5.89%"
"01/10/2024","7.64","7.79","8.05","7.11","1.83M","-3.17%"
"01/09/2024","7.89","8.69","8.95","7.84","1.68M","-13.11%"
"01/08/2024","9.08","8.25","9.16","7.55","2.85M","11.96%"
"01/05/2024","8.11","7.97","8.20","7.02","1.55M","1.12%"
"01/04/2024","8.02","8.23","8.54","7.66","2.14M","0.00%"
"01/03/2024","8.02","7.65","8.65","7.30","3.96M","-9.68%"
"01/02/2024","8.88","10.60","10.69","8.40","4.04M","-9.94%"
"12/29/2023","9.86","13.02","13.02","9.11","6.55M","-25.42%"
"12/28/2023","13.22","12.80","13.50","12.54","2.94M","-3.29%"
"12/27/2023","13.67","12.07","14.27","11.75","3.35M","19.49%"
"12/26/2023","11.44","10.65","12.99","10.65","4.41M","11.94%"
"12/22/2023","10.22","8.75","10.83","8.30","3.37M","20.95%"
"12/21/2023","8.45","8.20","8.75","7.80","1.40M","3.30%"
"12/20/2023","8.18","8.00","8.79","7.76","1.79M","4.34%"
"12/19/2023","7.84","8.00","8.10","7.46","799.05K","0.64%"
"12/18/2023","7.79","7.54","8.14","7.30","1.92M","-1.39%"
"12/15/2023","7.90","6.60","8.00","6.24","2.30M","19.88%"
"12/14/2023","6.59","6.49","6.70","6.15","1.09M","1.54%"
"12/13/2023","6.49","6.00","6.49","5.70","651.37K","9.08%"
"12/12/2023","5.95","5.76","5.95","5.61","634.03K","7.21%"
"12/11/2023","5.55","5.90","5.95","5.44","1.82M","-10.91%"
"12/08/2023","6.23","5.97","6.45","5.63","1.26M","7.97%"
"12/07/2023","5.77","5.42","5.80","5.21","1.10M","1.23%"
"12/06/2023","5.70","5.70","5.89","5.42","1.28M","2.15%"
"12/05/2023","5.58","5.30","5.68","5.21","871.83K","5.28%"
"12/04/2023","5.30","5.16","5.75","5.06","1.68M","6.00%"
"12/01/2023","5.00","4.62","5.00","4.42","816.16K","11.11%"
"11/30/2023","4.50","4.80","4.80","4.26","1.47M","-4.26%"
"11/29/2023","4.70","4.61","4.81","4.50","501.56K","3.30%"
"11/28/2023","4.55","4.24","4.77","4.18","720.90K","8.85%"
"11/27/2023","4.18","4.20","4.31","4.12","406.65K","-3.24%"
"11/24/2023","4.32","4.13","4.46","4.10","529.08K","5.11%"
"11/22/2023","4.11","4.14","4.29","3.97","514.63K","-0.72%"
"11/21/2023","4.14","4.47","4.55","3.91","1.01M","-13.03%"
"11/20/2023","4.76","4.00","4.88","3.93","700.12K","19.00%"
"11/17/2023","4.00","4.00","4.03","3.90","390.09K","0.25%"
"11/16/2023","3.99","4.25","4.37","3.78","896.54K","-6.78%"
"11/15/2023","4.28","5.00","5.23","4.15","1.31M","-14.40%"
"11/14/2023","5.00","3.90","5.00","3.83","693.28K","32.63%"
"11/13/2023","3.77","3.97","4.04","3.69","455.90K","-5.04%"
"11/10/2023","3.97","3.56","3.99","3.56","355.14K","12.46%"
"11/09/2023","3.53","4.00","4.02","3.49","685.30K","-6.37%"
"11/08/2023","3.77","3.81","3.97","3.71","254.37K","-0.79%"
"11/07/2023","3.80","3.87","4.04","3.78","349.85K","-2.31%"
"11/06/2023","3.89","4.07","4.15","3.76","764.45K","-2.51%"
"11/03/2023","3.99","3.82","4.01","3.82","500.11K","4.45%"
"11/02/2023","3.82","4.00","4.01","3.76","797.40K","-0.26%"
"11/01/2023","3.83","3.85","4.01","3.71","936.63K","2.41%"
"10/31/2023","3.74","3.56","4.00","3.56","282.64K","3.31%"
"10/30/2023","3.62","3.97","4.00","3.55","797.37K","-4.23%"
"10/27/2023","3.78","3.31","3.95","3.24","580.26K","18.50%"
"10/26/2023","3.19","3.78","3.88","3.15","842.27K","-14.25%"
"10/25/2023","3.72","3.12","3.81","2.91","793.89K","20.00%"
"10/24/2023","3.10","3.19","3.32","2.90","892.74K","5.80%"
"10/23/2023","2.93","3.20","3.30","2.77","636.68K","-8.44%"
"10/20/2023","3.20","3.35","3.57","3.03","722.45K","-6.16%"
"10/19/2023","3.41","3.58","3.63","3.20","623.08K","-3.94%"
"10/18/2023","3.55","3.93","3.97","3.50","388.25K","-11.25%"
"10/17/2023","4.00","4.00","4.03","3.70","336.30K","1.01%"
"10/16/2023","3.96","4.75","4.84","3.60","759.05K","-12.00%"
"10/13/2023","4.50","5.51","5.90","3.50","798.33K","-20.21%"
"10/12/2023","5.64","5.94","6.02","5.38","225.83K","-1.91%"
"10/11/2023","5.75","7.27","7.27","5.64","293.69K","-21.98%"
"10/10/2023","7.37","6.99","7.46","6.81","154.21K","5.44%"
"10/09/2023","6.99","7.90","7.90","6.82","129.42K","-10.73%"
"10/06/2023","7.83","8.32","8.64","7.64","95.01K","-2.13%"
"10/05/2023","8.00","8.40","8.62","7.66","66.20K","-5.94%"
"10/04/2023","8.51","8.80","8.80","8.33","78.45K","-2.02%"
