"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","0.959","0.930","0.997","0.910","11.95M","3.68%"
"05/09/2024","0.925","0.947","0.940","0.870","5.12M","5.11%"
"05/08/2024","0.880","0.844","0.897","0.812","7.30M","3.90%"
"05/07/2024","0.847","0.883","0.900","0.843","8.47M","-3.97%"
"05/06/2024","0.882","0.890","0.970","0.875","13.03M","0.34%"
"05/03/2024","0.879","0.940","0.956","0.868","8.93M","-4.46%"
"05/02/2024","0.920","0.900","0.919","0.843","6.05M","5.87%"
"05/01/2024","0.869","0.900","0.910","0.841","5.17M","-0.46%"
"04/30/2024","0.873","0.935","0.969","0.865","10.51M","-8.20%"
"04/29/2024","0.951","0.910","1.050","0.900","14.62M","4.07%"
"04/26/2024","0.914","0.930","0.940","0.876","9.35M","-1.74%"
"04/25/2024","0.930","0.970","0.970","0.901","11.28M","-6.19%"
"04/24/2024","0.991","0.953","1.010","0.923","11.23M","4.24%"
"04/23/2024","0.951","0.956","1.100","0.910","21.27M","2.26%"
"04/22/2024","0.930","0.812","0.948","0.765","29.22M","23.65%"
"04/19/2024","0.752","0.920","0.977","0.750","19.39M","-18.25%"
"04/18/2024","0.920","0.960","1.040","0.890","19.32M","-17.11%"
"04/17/2024","1.110","1.100","1.180","1.090","6.65M","0.91%"
"04/16/2024","1.100","1.110","1.200","1.070","9.16M","-2.65%"
"04/15/2024","1.130","1.210","1.210","1.110","8.68M","-5.83%"
"04/12/2024","1.200","1.260","1.275","1.200","6.01M","-4.76%"
"04/11/2024","1.260","1.310","1.330","1.240","3.94M","-2.33%"
"04/10/2024","1.290","1.270","1.340","1.240","6.42M","0.00%"
"04/09/2024","1.290","1.280","1.320","1.260","4.54M","-1.53%"
"04/08/2024","1.310","1.330","1.395","1.270","6.29M","3.15%"
"04/05/2024","1.270","1.300","1.310","1.260","3.92M","-2.31%"
"04/04/2024","1.300","1.320","1.370","1.280","5.25M","0.00%"
"04/03/2024","1.300","1.320","1.350","1.280","5.15M","-0.76%"
"04/02/2024","1.310","1.370","1.380","1.280","7.02M","-6.43%"
"04/01/2024","1.400","1.490","1.520","1.360","8.74M","-7.89%"
"03/28/2024","1.520","1.430","1.630","1.410","19.34M","7.04%"
"03/27/2024","1.420","1.430","1.480","1.400","6.81M","0.71%"
"03/26/2024","1.410","1.450","1.510","1.400","8.52M","-0.70%"
"03/25/2024","1.420","1.460","1.500","1.390","14.83M","0.00%"
"03/22/2024","1.420","1.440","1.490","1.410","8.87M","-8.39%"
"03/21/2024","1.550","1.630","1.665","1.520","20.05M","-3.13%"
"03/20/2024","1.600","1.310","1.600","1.280","28.28M","25.98%"
"03/19/2024","1.270","1.270","1.320","1.210","10.13M","-2.31%"
"03/18/2024","1.300","1.320","1.380","1.280","8.33M","-2.99%"
"03/15/2024","1.340","1.230","1.370","1.225","18.87M","5.51%"
"03/14/2024","1.270","1.360","1.370","1.260","13.37M","-7.30%"
"03/13/2024","1.370","1.390","1.470","1.350","14.46M","-1.44%"
"03/12/2024","1.390","1.400","1.497","1.360","15.40M","0.00%"
"03/11/2024","1.390","1.660","1.660","1.370","22.36M","-10.90%"
"03/08/2024","1.560","1.530","1.670","1.510","15.46M","3.31%"
"03/07/2024","1.510","1.540","1.580","1.480","9.11M","-4.43%"
"03/06/2024","1.580","1.630","1.630","1.510","11.71M","0.64%"
"03/05/2024","1.570","1.550","1.715","1.520","20.16M","0.00%"
"03/04/2024","1.570","1.690","1.720","1.530","21.65M","-3.68%"
"03/01/2024","1.630","1.600","1.670","1.530","16.10M","3.82%"
"02/29/2024","1.570","1.850","1.900","1.540","26.75M","-15.14%"
"02/28/2024","1.850","1.900","1.980","1.800","31.79M","5.71%"
"02/27/2024","1.750","2.095","2.170","1.720","56.07M","-11.17%"
"02/26/2024","1.970","1.840","2.080","1.830","36.30M","10.06%"
"02/23/2024","1.790","1.960","2.010","1.780","16.93M","-11.82%"
"02/22/2024","2.030","1.900","2.040","1.900","13.37M","7.41%"
"02/21/2024","1.890","1.980","2.030","1.860","14.16M","-12.09%"
"02/20/2024","2.150","2.310","2.430","1.972","32.21M","-6.52%"
"02/16/2024","2.300","2.350","2.540","2.210","22.86M","-0.43%"
"02/15/2024","2.310","2.390","2.415","2.090","38.64M","1.32%"
"02/14/2024","2.280","1.960","2.350","1.935","48.66M","31.79%"
"02/13/2024","1.730","1.700","1.827","1.660","25.23M","-7.49%"
"02/12/2024","1.870","1.590","2.010","1.580","41.35M","16.87%"
"02/09/2024","1.600","1.730","1.800","1.535","30.03M","3.90%"
"02/08/2024","1.540","1.400","1.560","1.350","25.03M","20.31%"
"02/07/2024","1.280","1.290","1.300","1.230","9.02M","0.79%"
"02/06/2024","1.270","1.230","1.310","1.201","10.74M","5.83%"
"02/05/2024","1.200","1.310","1.340","1.190","14.40M","-9.77%"
"02/02/2024","1.330","1.360","1.380","1.280","8.75M","-3.62%"
"02/01/2024","1.380","1.460","1.460","1.320","18.17M","-3.83%"
"01/31/2024","1.435","1.460","1.540","1.430","7.73M","-3.69%"
"01/30/2024","1.490","1.650","1.700","1.470","18.95M","-9.15%"
"01/29/2024","1.640","1.690","1.770","1.560","17.88M","1.23%"
"01/26/2024","1.620","1.550","1.700","1.510","23.03M","11.72%"
"01/25/2024","1.450","1.530","1.540","1.420","14.30M","-6.45%"
"01/24/2024","1.550","1.620","1.670","1.540","9.26M","-0.64%"
"01/23/2024","1.560","1.680","1.710","1.520","20.34M","-9.83%"
"01/22/2024","1.730","1.730","1.810","1.700","8.61M","-3.89%"
"01/19/2024","1.800","1.820","1.840","1.650","15.78M","-2.17%"
"01/18/2024","1.840","2.000","2.060","1.830","13.20M","-4.66%"
"01/17/2024","1.930","1.980","1.990","1.860","11.08M","-8.10%"
"01/16/2024","2.100","1.940","2.170","1.850","15.89M","8.25%"
"01/12/2024","1.940","2.060","2.120","1.910","20.65M","-8.92%"
"01/11/2024","2.130","2.440","2.630","2.060","50.67M","-0.47%"
"01/10/2024","2.140","2.090","2.265","2.005","13.77M","0.47%"
"01/09/2024","2.130","2.310","2.340","2.080","15.37M","-6.58%"
"01/08/2024","2.280","2.120","2.330","1.945","21.18M","8.06%"
"01/05/2024","2.110","2.170","2.190","2.020","15.00M","-3.21%"
"01/04/2024","2.180","2.070","2.369","1.980","22.01M","6.86%"
"01/03/2024","2.040","1.880","2.160","1.860","31.42M","-5.56%"
"01/02/2024","2.160","2.525","2.525","2.120","31.62M","-6.49%"
"12/29/2023","2.310","2.920","2.960","2.200","41.86M","-17.79%"
"12/28/2023","2.810","2.965","3.040","2.750","24.10M","-11.91%"
"12/27/2023","3.190","3.230","3.500","3.030","36.31M","5.28%"
"12/26/2023","3.030","3.130","3.200","2.780","26.20M","-4.42%"
"12/22/2023","3.170","2.620","3.360","2.620","46.31M","22.87%"
"12/21/2023","2.580","2.910","2.910","2.420","40.70M","0.39%"
"12/20/2023","2.570","2.340","3.180","2.300","50.98M","15.25%"
