"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","3.720","4.050","4.080","3.670","5.47M","-5.82%"
"05/09/2024","3.950","3.770","4.040","3.755","4.36M","4.64%"
"05/08/2024","3.775","3.730","3.840","3.532","4.31M","-0.40%"
"05/07/2024","3.790","4.380","4.380","3.740","10.76M","-15.21%"
"05/06/2024","4.470","4.300","4.515","4.270","5.25M","7.97%"
"05/03/2024","4.140","4.100","4.400","4.065","4.59M","5.34%"
"05/02/2024","3.930","4.100","3.990","3.710","4.43M","6.50%"
"05/01/2024","3.690","3.600","3.899","3.370","8.38M","-0.81%"
"04/30/2024","3.720","3.960","4.040","3.680","7.73M","-7.92%"
"04/29/2024","4.040","4.250","4.355","3.970","5.44M","-10.22%"
"04/26/2024","4.500","4.450","4.620","4.400","3.48M","1.58%"
"04/25/2024","4.430","4.320","4.460","4.190","6.53M","-4.53%"
"04/24/2024","4.640","4.770","5.000","4.550","4.93M","-3.53%"
"04/23/2024","4.810","4.470","4.890","4.410","7.14M","5.48%"
"04/22/2024","4.560","4.030","4.565","3.860","8.32M","18.75%"
"04/19/2024","3.840","3.700","3.990","3.560","8.23M","4.35%"
"04/18/2024","3.680","3.490","3.835","3.410","5.57M","7.60%"
"04/17/2024","3.420","3.370","3.590","3.300","5.59M","1.79%"
"04/16/2024","3.360","3.542","3.570","3.300","6.14M","-7.95%"
"04/15/2024","3.650","3.820","3.900","3.590","4.06M","-4.58%"
"04/12/2024","3.825","4.060","4.150","3.735","5.77M","-7.83%"
"04/11/2024","4.150","4.210","4.210","3.875","6.93M","-1.43%"
"04/10/2024","4.210","3.970","4.420","3.940","5.95M","0.24%"
"04/09/2024","4.200","4.200","4.310","4.120","4.11M","-2.10%"
"04/08/2024","4.290","4.320","4.550","3.910","8.06M","5.93%"
"04/05/2024","4.050","4.060","4.215","3.885","4.83M","-2.64%"
"04/04/2024","4.160","4.440","4.590","4.150","6.30M","-4.37%"
"04/03/2024","4.350","4.240","4.490","4.155","5.03M","1.40%"
"04/02/2024","4.290","4.340","4.370","4.000","10.71M","-12.09%"
"04/01/2024","4.880","4.940","4.940","4.610","6.56M","-5.24%"
"03/28/2024","5.150","5.350","5.750","5.030","14.47M","-3.38%"
"03/27/2024","5.330","5.330","5.655","5.250","11.05M","2.11%"
"03/26/2024","5.220","5.370","5.480","5.160","12.53M","-0.76%"
"03/25/2024","5.260","4.810","5.460","4.760","16.80M","13.85%"
"03/22/2024","4.620","4.690","4.810","4.510","8.16M","-4.35%"
"03/21/2024","4.830","4.300","5.045","4.280","12.45M","6.15%"
"03/20/2024","4.550","4.300","4.710","4.120","15.72M","10.98%"
"03/19/2024","4.100","3.800","4.260","3.690","14.22M","3.80%"
"03/18/2024","3.950","3.620","4.070","3.400","14.27M","11.90%"
"03/15/2024","3.530","3.090","3.540","3.090","10.60M","11.36%"
"03/14/2024","3.170","3.330","3.380","3.042","6.67M","-6.21%"
"03/13/2024","3.380","3.090","3.460","3.040","7.44M","7.81%"
"03/12/2024","3.135","3.200","3.240","3.045","4.79M","-0.79%"
"03/11/2024","3.160","3.660","3.700","3.150","8.46M","-9.97%"
"03/08/2024","3.510","3.550","3.800","3.280","12.84M","2.63%"
"03/07/2024","3.420","3.540","3.570","3.280","9.01M","-5.79%"
"03/06/2024","3.630","2.920","3.830","2.910","19.05M","27.37%"
"03/05/2024","2.850","3.080","3.190","2.810","10.66M","-0.70%"
"03/04/2024","2.870","3.090","3.195","2.850","10.62M","-7.12%"
"03/01/2024","3.090","3.000","3.090","2.825","4.69M","4.39%"
"02/29/2024","2.960","3.300","3.310","2.920","8.59M","-9.48%"
"02/28/2024","3.270","3.570","3.720","3.160","13.19M","-5.22%"
"02/27/2024","3.450","3.600","3.680","3.240","9.54M","1.47%"
"02/26/2024","3.400","3.020","3.465","2.970","9.78M","12.21%"
"02/23/2024","3.030","3.140","3.150","2.960","5.08M","-6.63%"
"02/22/2024","3.245","3.230","3.430","3.150","3.97M","3.67%"
"02/21/2024","3.130","3.330","3.430","3.105","4.54M","-10.57%"
"02/20/2024","3.500","3.780","3.850","3.220","9.18M","-7.41%"
"02/16/2024","3.780","4.200","4.250","3.760","13.28M","-10.00%"
"02/15/2024","4.200","4.100","4.470","3.993","14.96M","4.48%"
"02/14/2024","4.020","3.960","4.060","3.680","11.46M","14.86%"
"02/13/2024","3.500","3.480","3.650","3.150","10.38M","-10.26%"
"02/12/2024","3.900","3.400","3.960","3.360","10.70M","16.42%"
"02/09/2024","3.350","3.300","3.440","3.070","12.15M","15.52%"
"02/08/2024","2.900","2.620","2.910","2.609","6.63M","15.54%"
"02/07/2024","2.510","2.590","2.635","2.420","4.44M","-3.09%"
"02/06/2024","2.590","2.410","2.600","2.400","3.73M","5.71%"
"02/05/2024","2.450","2.600","2.630","2.440","4.84M","-8.58%"
"02/02/2024","2.680","2.870","2.870","2.625","5.22M","-6.29%"
"02/01/2024","2.860","3.030","3.110","2.800","7.36M","-5.92%"
"01/31/2024","3.040","2.910","3.290","2.860","15.43M","-1.30%"
"01/30/2024","3.080","3.190","3.210","3.010","7.98M","-0.96%"
"01/29/2024","3.110","2.840","3.210","2.710","12.92M","13.09%"
"01/26/2024","2.750","2.460","2.860","2.450","11.37M","16.53%"
"01/25/2024","2.360","2.260","2.390","2.155","6.34M","3.28%"
"01/24/2024","2.285","2.800","2.860","2.215","14.87M","-16.61%"
"01/23/2024","2.740","2.820","2.850","2.700","3.24M","-2.84%"
"01/22/2024","2.820","2.630","2.869","2.555","5.11M","5.22%"
"01/19/2024","2.680","2.610","2.690","2.460","6.36M","1.90%"
"01/18/2024","2.630","2.880","2.890","2.600","6.26M","-6.07%"
"01/17/2024","2.800","2.830","2.880","2.760","4.37M","-3.45%"
"01/16/2024","2.900","3.110","3.110","2.840","7.74M","-11.04%"
"01/12/2024","3.260","3.340","3.510","3.220","7.41M","-7.12%"
"01/11/2024","3.510","4.000","4.120","3.310","9.55M","-7.39%"
"01/10/2024","3.790","3.680","3.970","3.600","8.36M","-0.79%"
"01/09/2024","3.820","3.950","4.010","3.790","6.22M","-5.45%"
"01/08/2024","4.040","3.995","4.065","3.520","12.20M","3.32%"
"01/05/2024","3.910","4.110","4.110","3.780","7.68M","-6.68%"
"01/04/2024","4.190","4.100","4.329","3.960","8.36M","6.62%"
"01/03/2024","3.930","3.760","4.280","3.660","11.65M","-4.84%"
"01/02/2024","4.130","4.690","4.770","4.090","10.28M","0.00%"
"12/29/2023","4.130","4.960","4.960","4.000","19.62M","-14.14%"
"12/28/2023","4.810","5.000","5.157","4.670","18.90M","-8.73%"
"12/27/2023","5.270","5.600","5.600","5.060","27.49M","5.82%"
"12/26/2023","4.980","4.120","5.310","3.930","30.47M","23.57%"
"12/22/2023","4.030","4.030","4.210","3.955","21.30M","-0.49%"
"12/21/2023","4.050","4.190","4.310","3.980","16.33M","5.74%"
"12/20/2023","3.830","3.845","4.200","3.660","22.68M","6.69%"
"12/19/2023","3.590","3.380","3.855","3.320","20.15M","14.33%"
"12/18/2023","3.140","2.550","3.210","2.530","15.38M","20.77%"
"12/15/2023","2.600","2.600","2.620","2.530","5.95M","0.78%"
"12/14/2023","2.580","2.570","2.660","2.520","4.31M","4.88%"
"12/13/2023","2.460","2.360","2.490","2.290","4.90M","5.58%"
"12/12/2023","2.330","2.530","2.535","2.320","3.26M","-4.90%"
"12/11/2023","2.450","2.850","2.850","2.430","3.40M","-15.81%"
"12/08/2023","2.910","2.610","2.930","2.610","4.31M","11.07%"
"12/07/2023","2.620","2.660","2.710","2.550","2.87M","-4.38%"
"12/06/2023","2.740","2.880","2.920","2.690","3.35M","-1.79%"
"12/05/2023","2.790","3.010","3.125","2.765","6.60M","-6.69%"
"12/04/2023","2.990","3.200","3.230","2.980","12.81M","1.70%"
"12/01/2023","2.940","2.800","3.005","2.740","7.40M","6.14%"
"11/30/2023","2.770","2.790","2.870","2.715","2.37M","1.09%"
"11/29/2023","2.740","2.800","2.800","2.650","2.15M","1.86%"
"11/28/2023","2.690","2.680","2.730","2.620","2.64M","2.67%"
"11/27/2023","2.620","2.600","2.710","2.580","1.97M","-2.60%"
"11/24/2023","2.690","2.610","2.705","2.525","1.28M","5.49%"
"11/22/2023","2.550","2.450","2.560","2.412","1.46M","4.51%"
"11/21/2023","2.440","2.530","2.530","2.400","1.50M","-2.01%"
"11/20/2023","2.490","2.450","2.630","2.440","4.77M","0.61%"
"11/17/2023","2.475","2.610","2.610","2.460","1.57M","-1.00%"
"11/16/2023","2.500","2.820","2.825","2.500","2.68M","-13.19%"
"11/15/2023","2.880","2.880","3.100","2.815","4.29M","1.05%"
"11/14/2023","2.850","2.850","2.940","2.760","2.11M","-1.04%"
"11/13/2023","2.880","2.990","2.990","2.740","2.52M","-3.36%"
"11/10/2023","2.980","3.010","3.187","2.950","1.70M","-4.49%"
"11/09/2023","3.120","3.800","3.800","2.895","12.29M","-12.61%"
"11/08/2023","3.570","4.040","4.040","3.540","2.19M","-7.27%"
"11/07/2023","3.850","3.820","3.905","3.640","1.68M","-0.77%"
"11/06/2023","3.880","4.230","4.230","3.785","2.19M","-5.37%"
"11/03/2023","4.100","3.860","4.268","3.860","2.01M","3.80%"
"11/02/2023","3.950","3.690","4.040","3.670","2.57M","13.02%"
"11/01/2023","3.495","3.340","3.560","3.310","1.33M","4.95%"
"10/31/2023","3.330","3.400","3.418","3.140","1.25M","-4.58%"
"10/30/2023","3.490","3.430","3.749","3.320","2.17M","5.12%"
"10/27/2023","3.320","3.530","3.640","3.230","1.82M","-5.68%"
"10/26/2023","3.520","3.470","3.640","3.400","1.66M","-0.56%"
"10/25/2023","3.540","3.090","3.570","3.010","2.60M","12.74%"
"10/24/2023","3.140","2.960","3.150","2.700","5.10M","17.60%"
"10/23/2023","2.670","2.690","2.720","2.560","2.48M","2.69%"
"10/20/2023","2.600","2.730","2.770","2.530","1.50M","1.17%"
"10/19/2023","2.570","2.620","2.640","2.500","1.27M","-2.28%"
"10/18/2023","2.630","2.750","2.860","2.600","850.54K","-5.73%"
"10/17/2023","2.790","2.570","2.830","2.570","1.24M","4.89%"
"10/16/2023","2.660","2.470","2.770","2.460","1.82M","10.83%"
"10/13/2023","2.400","2.420","2.440","2.360","409.39K","0.00%"
"10/12/2023","2.400","2.410","2.465","2.360","510.63K","-2.83%"
"10/11/2023","2.470","2.580","2.630","2.400","643.94K","-4.63%"
"10/10/2023","2.590","2.550","2.660","2.530","692.43K","1.57%"
"10/09/2023","2.550","2.550","2.670","2.455","1.35M","-4.49%"
"10/06/2023","2.670","2.410","2.685","2.410","1.10M","8.98%"
