"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","15.57","17.35","18.07","15.57","34.06M","-6.15%"
"05/09/2024","16.59","16.81","17.40","16.22","25.64M","1.34%"
"05/08/2024","16.37","16.15","16.71","15.31","22.37M","-1.03%"
"05/07/2024","16.54","17.20","17.48","16.22","21.79M","-5.11%"
"05/06/2024","17.43","16.57","18.32","16.49","26.26M","7.93%"
"05/03/2024","16.15","16.70","17.38","15.93","24.87M","1.32%"
"05/02/2024","15.94","16.10","16.27","15.32","21.31M","1.98%"
"05/01/2024","15.63","16.03","16.88","15.36","27.25M","-4.64%"
"04/30/2024","16.39","17.30","17.69","16.33","20.07M","-9.55%"
"04/29/2024","18.12","18.34","18.73","17.30","22.35M","-5.77%"
"04/26/2024","19.23","19.07","19.62","18.53","19.37M","-1.59%"
"04/25/2024","19.54","18.62","19.80","18.06","26.07M","-1.21%"
"04/24/2024","19.78","20.30","21.39","19.21","34.95M","-4.58%"
"04/23/2024","20.73","18.76","21.05","18.61","39.72M","8.59%"
"04/22/2024","19.09","17.85","19.17","17.07","46.06M","10.99%"
"04/19/2024","17.20","16.73","17.90","16.37","44.79M","5.98%"
"04/18/2024","16.23","14.95","17.15","14.78","40.51M","8.78%"
"04/17/2024","14.92","14.48","15.46","14.18","32.07M","3.04%"
"04/16/2024","14.48","14.34","14.80","13.70","25.30M","-1.43%"
"04/15/2024","14.69","14.80","15.88","14.53","29.64M","-1.08%"
"04/12/2024","14.85","15.64","15.85","14.61","28.47M","-6.43%"
"04/11/2024","15.87","14.99","15.97","14.66","26.51M","5.45%"
"04/10/2024","15.05","14.80","15.72","14.59","22.23M","-1.83%"
"04/09/2024","15.33","15.09","15.76","14.84","26.47M","-0.20%"
"04/08/2024","15.36","16.83","17.33","15.21","30.35M","-1.54%"
"04/05/2024","15.60","15.73","16.52","15.58","21.60M","-1.83%"
"04/04/2024","15.89","16.90","17.75","15.86","38.25M","-1.82%"
"04/03/2024","16.18","16.85","17.08","16.18","22.86M","-3.83%"
"04/02/2024","16.83","17.91","17.93","16.52","29.46M","-9.42%"
"04/01/2024","18.58","19.49","20.50","18.54","35.56M","-12.40%"
"03/28/2024","21.21","23.19","24.10","21.11","45.39M","-8.22%"
"03/27/2024","23.11","24.04","24.72","22.47","32.27M","-0.34%"
"03/26/2024","23.19","23.21","24.15","22.35","30.49M","-0.90%"
"03/25/2024","23.40","20.15","24.08","20.12","48.31M","19.88%"
"03/22/2024","19.52","19.82","19.95","18.63","31.84M","-6.02%"
"03/21/2024","20.77","19.63","21.02","19.29","41.79M","2.57%"
"03/20/2024","20.25","16.51","20.25","16.12","45.28M","22.80%"
"03/19/2024","16.49","16.63","17.08","15.06","35.84M","-5.56%"
"03/18/2024","17.46","17.00","18.23","16.25","32.79M","0.17%"
"03/15/2024","17.43","15.65","17.73","15.32","44.01M","10.04%"
"03/14/2024","15.84","16.36","16.60","14.99","34.14M","-7.42%"
"03/13/2024","17.11","16.46","17.90","16.29","32.65M","3.76%"
"03/12/2024","16.49","17.11","17.27","15.58","37.99M","-2.48%"
"03/11/2024","16.91","21.04","21.33","16.87","46.88M","-16.45%"
"03/08/2024","20.24","18.20","20.49","17.99","58.04M","13.58%"
"03/07/2024","17.82","16.49","17.99","15.91","36.09M","7.51%"
"03/06/2024","16.58","16.12","17.34","15.06","41.27M","8.12%"
"03/05/2024","15.33","16.00","17.19","14.78","50.33M","-6.92%"
"03/04/2024","16.47","18.91","19.18","15.89","61.57M","-7.78%"
"03/01/2024","17.86","16.72","17.87","15.53","40.50M","6.82%"
"02/29/2024","16.72","19.40","19.54","15.81","61.79M","-7.52%"
"02/28/2024","18.08","21.85","22.38","17.76","75.23M","-13.45%"
"02/27/2024","20.89","23.07","23.45","20.30","59.04M","2.65%"
"02/26/2024","20.35","16.61","20.95","16.57","62.81M","23.86%"
"02/23/2024","16.43","16.71","17.06","15.88","19.87M","-3.86%"
"02/22/2024","17.09","15.70","17.68","15.29","37.65M","10.54%"
"02/21/2024","15.46","15.20","16.55","15.00","26.68M","-6.64%"
"02/20/2024","16.56","18.36","18.50","15.44","43.44M","-7.28%"
"02/16/2024","17.86","17.44","18.01","16.50","33.77M","3.66%"
"02/15/2024","17.23","18.11","19.23","16.47","51.90M","-3.47%"
"02/14/2024","17.85","18.14","18.87","16.86","51.91M","12.33%"
"02/13/2024","15.89","14.35","16.39","13.75","49.44M","-0.72%"
"02/12/2024","16.00","14.19","16.44","14.10","69.11M","14.73%"
"02/09/2024","13.95","13.02","14.59","11.95","89.23M","32.86%"
"02/08/2024","10.50","9.93","10.54","9.53","36.37M","12.78%"
"02/07/2024","9.31","8.76","9.34","8.46","21.59M","7.01%"
"02/06/2024","8.70","7.76","8.72","7.64","20.79M","12.11%"
"02/05/2024","7.76","8.26","8.37","7.68","19.71M","-6.28%"
"02/02/2024","8.28","8.11","8.61","8.03","16.92M","-0.96%"
"02/01/2024","8.36","8.10","8.52","7.68","28.28M","3.85%"
"01/31/2024","8.05","8.14","8.98","8.04","26.49M","-4.39%"
"01/30/2024","8.42","8.66","9.01","8.21","22.81M","-1.29%"
"01/29/2024","8.53","8.14","9.24","7.97","32.38M","6.49%"
"01/26/2024","8.01","7.70","8.26","7.60","22.82M","9.65%"
"01/25/2024","7.30","7.06","7.39","6.95","11.45M","4.51%"
"01/24/2024","6.99","7.44","7.72","6.98","17.56M","-1.41%"
"01/23/2024","7.09","6.84","7.38","6.70","18.68M","-0.14%"
"01/22/2024","7.10","6.73","7.35","6.59","20.88M","3.35%"
"01/19/2024","6.87","6.89","6.95","6.41","21.52M","-0.15%"
"01/18/2024","6.88","7.42","7.64","6.76","21.86M","-6.52%"
"01/17/2024","7.36","7.50","7.60","7.23","15.47M","-3.79%"
"01/16/2024","7.65","7.90","8.26","7.35","28.82M","-6.02%"
"01/12/2024","8.14","9.01","9.09","8.07","28.06M","-12.10%"
"01/11/2024","9.26","10.68","11.35","8.88","37.40M","-7.26%"
