"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","7.990","8.370","8.380","7.889","1.63M","-1.96%"
"05/09/2024","8.150","8.070","8.270","7.900","1.81M","-0.49%"
"05/08/2024","8.190","7.950","8.220","7.775","1.75M","0.00%"
"05/07/2024","8.190","8.770","8.880","8.190","2.14M","-7.46%"
"05/06/2024","8.850","8.490","9.082","8.420","2.23M","7.01%"
"05/03/2024","8.270","8.420","8.630","8.221","1.64M","1.35%"
"05/02/2024","8.160","8.230","8.350","8.000","1.61M","2.13%"
"05/01/2024","7.990","7.810","8.470","7.670","4.14M","1.65%"
"04/30/2024","7.860","8.090","8.200","7.860","2.46M","-5.76%"
"04/29/2024","8.340","8.650","8.710","8.235","1.59M","-5.33%"
"04/26/2024","8.810","8.870","9.081","8.683","1.44M","-0.56%"
"04/25/2024","8.860","8.620","8.935","8.420","1.99M","-1.34%"
"04/24/2024","8.980","9.540","9.839","8.970","3.27M","-6.75%"
"04/23/2024","9.630","9.080","9.810","8.930","3.92M","4.45%"
"04/22/2024","9.220","8.310","9.380","8.160","4.18M","14.53%"
"04/19/2024","8.050","7.910","8.190","7.800","2.22M","2.16%"
"04/18/2024","7.880","7.410","8.140","7.380","2.26M","5.91%"
"04/17/2024","7.440","7.340","7.670","7.210","2.00M","2.76%"
"04/16/2024","7.240","7.040","7.335","6.950","1.91M","0.00%"
"04/15/2024","7.240","7.590","7.805","7.213","2.22M","-6.22%"
"04/12/2024","7.720","8.080","8.080","7.550","2.46M","-4.81%"
"04/11/2024","8.110","8.600","8.610","7.950","2.36M","-4.92%"
"04/10/2024","8.530","8.240","8.670","8.140","2.39M","-1.04%"
"04/09/2024","8.620","8.860","8.960","8.475","2.47M","-4.22%"
"04/08/2024","9.000","9.620","9.829","8.930","2.96M","0.22%"
"04/05/2024","8.980","9.230","9.360","8.680","3.12M","-7.33%"
"04/04/2024","9.690","9.880","10.510","9.609","4.89M","0.00%"
"04/03/2024","9.690","9.390","9.900","9.290","2.77M","3.30%"
"04/02/2024","9.380","9.960","10.060","9.130","4.56M","-13.31%"
"04/01/2024","10.820","11.030","11.690","10.501","4.41M","-1.99%"
"03/28/2024","11.040","10.020","12.155","10.000","16.34M","11.97%"
"03/27/2024","9.860","10.030","10.160","9.530","3.48M","-0.20%"
"03/26/2024","9.880","9.420","10.190","9.100","4.51M","5.11%"
"03/25/2024","9.400","8.810","9.582","8.810","4.49M","7.80%"
"03/22/2024","8.720","8.700","8.940","8.610","1.97M","-1.80%"
"03/21/2024","8.880","9.300","9.410","8.730","4.24M","-2.20%"
"03/20/2024","9.080","8.160","9.100","8.080","5.31M","12.80%"
"03/19/2024","8.050","7.590","8.060","7.230","3.96M","3.34%"
"03/18/2024","7.790","7.800","7.980","7.340","4.05M","3.32%"
"03/15/2024","7.540","7.070","7.579","6.960","5.57M","4.14%"
"03/14/2024","7.240","7.650","7.715","7.145","4.36M","-6.34%"
"03/13/2024","7.730","7.160","7.760","7.050","4.21M","8.42%"
"03/12/2024","7.130","7.140","7.220","6.770","2.95M","0.71%"
"03/11/2024","7.080","8.060","8.100","7.070","5.25M","-10.72%"
"03/08/2024","7.930","7.690","8.370","7.565","4.03M","2.72%"
"03/07/2024","7.720","7.870","7.920","7.450","2.71M","-1.91%"
"03/06/2024","7.870","7.750","8.100","7.375","3.11M","4.65%"
