"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","4.790","5.150","5.250","4.765","4.89M","-6.26%"
"05/09/2024","5.110","5.130","5.315","4.970","4.37M","-0.39%"
"05/08/2024","5.130","4.910","5.165","4.820","3.80M","1.18%"
"05/07/2024","5.070","5.230","5.370","4.960","5.37M","-4.34%"
"05/06/2024","5.300","4.880","5.430","4.837","8.59M","12.05%"
"05/03/2024","4.730","4.750","4.990","4.680","4.53M","3.50%"
"05/02/2024","4.570","4.560","4.619","4.360","4.16M","5.54%"
"05/01/2024","4.330","4.290","4.627","4.150","6.26M","-0.23%"
"04/30/2024","4.340","4.540","4.630","4.300","7.79M","-7.46%"
"04/29/2024","4.690","4.860","4.950","4.620","7.40M","-7.68%"
"04/26/2024","5.080","5.120","5.300","5.000","4.51M","-1.74%"
"04/25/2024","5.170","4.920","5.220","4.850","5.50M","-1.52%"
"04/24/2024","5.250","5.550","5.620","5.200","8.16M","-5.91%"
"04/23/2024","5.580","5.440","5.695","5.350","10.91M","1.27%"
"04/22/2024","5.510","5.190","5.590","4.870","17.71M","11.31%"
"04/19/2024","4.950","4.710","5.020","4.632","7.34M","5.77%"
"04/18/2024","4.680","4.550","4.915","4.445","6.62M","4.00%"
"04/17/2024","4.500","4.350","4.665","4.302","5.43M","3.45%"
"04/16/2024","4.350","4.280","4.505","4.163","4.73M","0.46%"
"04/15/2024","4.330","4.280","4.728","4.310","5.39M","-6.88%"
"04/12/2024","4.650","4.920","4.920","4.570","6.52M","-6.44%"
"04/11/2024","4.970","4.910","5.000","4.745","5.59M","1.43%"
"04/10/2024","4.900","4.940","5.260","4.810","10.43M","-2.20%"
"04/09/2024","5.010","5.350","5.570","4.940","13.46M","-7.39%"
"04/08/2024","5.410","6.080","6.330","5.295","15.12M","-3.39%"
"04/05/2024","5.600","5.650","5.850","5.520","9.61M","-2.78%"
"04/04/2024","5.760","5.920","6.350","5.710","16.05M","3.60%"
"04/03/2024","5.560","5.910","6.180","5.550","9.24M","-5.60%"
"04/02/2024","5.890","5.970","6.230","5.520","17.04M","-8.96%"
"04/01/2024","6.470","5.600","6.650","5.320","23.25M","19.81%"
"03/28/2024","5.400","5.470","5.945","5.330","13.64M","0.56%"
"03/27/2024","5.370","5.910","5.940","5.280","13.62M","-5.62%"
"03/26/2024","5.690","5.680","5.950","5.460","9.64M","1.97%"
"03/25/2024","5.580","5.150","5.830","5.140","12.52M","10.50%"
"03/22/2024","5.050","5.370","5.420","5.000","9.83M","-10.62%"
"03/21/2024","5.650","5.700","6.140","5.475","14.55M","-0.35%"
"03/20/2024","5.670","4.590","5.720","4.535","14.61M","26.28%"
"03/19/2024","4.490","4.500","4.640","4.290","9.47M","-2.60%"
"03/18/2024","4.610","4.650","4.680","4.440","7.18M","0.22%"
"03/15/2024","4.600","4.360","4.750","4.360","7.97M","0.88%"
"03/14/2024","4.560","4.860","4.870","4.480","5.86M","-6.94%"
"03/13/2024","4.900","4.910","5.200","4.874","6.03M","-0.61%"
"03/12/2024","4.930","5.130","5.149","4.815","12.48M","-2.95%"
"03/11/2024","5.080","5.680","5.780","5.070","11.82M","-5.05%"
"03/08/2024","5.350","5.360","5.820","5.150","10.45M","-0.19%"
"03/07/2024","5.360","5.400","5.460","5.270","5.20M","-0.74%"
"03/06/2024","5.400","5.280","5.560","5.085","7.24M","6.09%"
"03/05/2024","5.090","5.540","5.740","5.070","10.35M","-10.70%"
"03/04/2024","5.700","6.100","6.210","5.460","13.90M","-4.84%"
"03/01/2024","5.990","5.950","6.010","5.552","5.29M","1.53%"
"02/29/2024","5.900","6.245","6.300","5.550","8.95M","-2.48%"
"02/28/2024","6.050","6.990","6.990","5.940","16.40M","-10.64%"
"02/27/2024","6.770","7.320","7.330","6.690","12.41M","-2.03%"
"02/26/2024","6.910","6.150","7.200","6.070","16.93M","11.81%"
"02/23/2024","6.180","6.350","6.370","6.000","6.92M","-6.79%"
"02/22/2024","6.630","6.760","7.000","6.500","7.83M","-0.15%"
"02/21/2024","6.640","6.550","6.910","6.500","5.32M","-3.35%"
"02/20/2024","6.870","7.160","7.330","6.462","9.95M","0.88%"
"02/16/2024","6.810","7.000","7.370","6.372","19.10M","-12.02%"
"02/15/2024","7.740","8.450","8.693","7.410","19.02M","-6.75%"
"02/14/2024","8.300","8.160","8.370","7.700","18.11M","19.94%"
"02/13/2024","6.920","6.390","7.000","5.970","11.64M","-0.14%"
"02/12/2024","6.930","6.070","7.150","6.040","16.09M","16.67%"
"02/09/2024","5.940","5.790","6.045","5.500","14.63M","16.47%"
"02/08/2024","5.100","4.470","5.110","4.400","10.39M","23.79%"
"02/07/2024","4.120","3.870","4.180","3.760","5.96M","7.29%"
"02/06/2024","3.840","3.660","3.890","3.590","2.84M","5.21%"
"02/05/2024","3.650","3.800","3.870","3.560","3.33M","-3.69%"
"02/02/2024","3.790","3.710","3.930","3.650","3.38M","1.07%"
"02/01/2024","3.750","3.950","3.960","3.640","6.77M","-4.34%"
"01/31/2024","3.920","4.170","4.240","3.880","9.09M","-9.47%"
"01/30/2024","4.330","4.470","4.621","4.230","6.03M","-3.35%"
"01/29/2024","4.480","4.360","4.600","4.220","8.99M","4.92%"
"01/26/2024","4.270","4.300","4.360","4.190","6.88M","5.17%"
"01/25/2024","4.060","4.000","4.110","3.920","3.70M","1.50%"
"01/24/2024","4.000","4.250","4.450","3.980","6.69M","-3.61%"
"01/23/2024","4.150","4.170","4.270","4.070","5.35M","-3.49%"
"01/22/2024","4.300","4.250","4.610","4.070","5.22M","-0.46%"
"01/19/2024","4.320","4.380","4.500","4.010","6.04M","-0.23%"
"01/18/2024","4.330","4.810","4.875","4.295","5.92M","-8.07%"
"01/17/2024","4.710","4.810","4.870","4.520","3.82M","-2.08%"
