"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","17.16","19.78","19.77","17.10","54.72M","-12.67%"
"05/09/2024","19.65","19.71","20.65","19.48","44.20M","-2.19%"
"05/08/2024","20.09","19.55","20.28","18.77","39.40M","-0.59%"
"05/07/2024","20.21","20.09","20.67","19.70","88.72M","-2.23%"
"05/06/2024","20.67","18.44","21.03","18.23","87.05M","17.98%"
"05/03/2024","17.52","17.83","18.18","17.14","35.90M","2.64%"
"05/02/2024","17.07","16.62","17.14","15.92","34.85M","6.36%"
"05/01/2024","16.05","15.86","17.21","15.64","37.87M","-0.06%"
"04/30/2024","16.06","17.18","17.51","16.01","42.09M","-10.93%"
"04/29/2024","18.03","18.43","18.89","17.70","40.38M","-7.21%"
"04/26/2024","19.43","19.05","19.81","18.62","39.40M","2.21%"
"04/25/2024","19.01","17.92","19.12","17.51","37.05M","-0.42%"
"04/24/2024","19.09","19.11","20.04","18.67","45.47M","-1.80%"
"04/23/2024","19.44","17.31","19.89","17.25","61.14M","10.77%"
"04/22/2024","17.55","17.15","17.58","15.53","66.96M","6.36%"
"04/19/2024","16.50","15.16","16.85","15.10","50.05M","9.78%"
"04/18/2024","15.03","14.61","15.82","14.46","39.15M","2.73%"
"04/17/2024","14.63","14.58","15.13","14.18","37.80M","0.21%"
"04/16/2024","14.60","14.81","14.98","14.23","35.94M","-3.63%"
"04/15/2024","15.15","16.17","16.35","15.11","33.79M","-5.96%"
"04/12/2024","16.11","17.45","17.47","15.80","39.16M","-8.47%"
"04/11/2024","17.60","17.28","17.83","17.05","30.60M","1.27%"
"04/10/2024","17.38","17.30","18.07","17.11","34.62M","-3.34%"
"04/09/2024","17.98","17.83","18.55","17.62","34.67M","0.17%"
"04/08/2024","17.95","19.42","19.73","17.61","44.46M","-2.60%"
"04/05/2024","18.43","18.10","19.26","18.07","31.60M","-0.22%"
"04/04/2024","18.47","20.02","20.46","18.33","56.69M","-4.92%"
"04/03/2024","19.42","19.65","20.32","19.42","31.03M","-1.55%"
"04/02/2024","19.73","20.42","20.57","19.46","35.08M","-8.78%"
"04/01/2024","21.63","22.02","22.50","21.07","37.25M","-4.21%"
"03/28/2024","22.58","22.44","24.65","22.19","86.14M","2.31%"
"03/27/2024","22.07","21.05","22.58","20.00","58.35M","8.29%"
"03/26/2024","20.38","20.75","21.49","19.82","42.14M","-2.72%"
"03/25/2024","20.95","21.23","22.52","20.71","64.88M","0.38%"
"03/22/2024","20.87","21.17","21.56","20.60","37.48M","-4.18%"
"03/21/2024","21.78","22.40","23.08","21.31","64.87M","-2.90%"
"03/20/2024","22.43","19.56","22.43","19.02","74.38M","16.10%"
"03/19/2024","19.32","18.38","19.43","17.40","47.83M","-0.46%"
"03/18/2024","19.41","18.98","20.11","18.21","51.91M","0.47%"
"03/15/2024","19.32","17.77","19.84","17.48","58.17M","5.98%"
"03/14/2024","18.23","19.20","19.20","17.52","61.41M","-7.46%"
"03/13/2024","19.70","20.07","21.38","19.63","49.99M","-2.43%"
"03/12/2024","20.19","20.89","20.95","19.25","65.06M","-2.18%"
"03/11/2024","20.64","24.67","24.89","20.60","82.99M","-12.10%"
"03/08/2024","23.48","22.10","25.28","22.02","94.27M","7.71%"
"03/07/2024","21.80","22.00","22.94","21.45","58.50M","-3.63%"
"03/06/2024","22.62","23.48","23.94","21.63","66.88M","1.64%"
"03/05/2024","22.25","24.71","26.66","22.01","100.79M","-13.44%"
"03/04/2024","25.71","27.86","29.38","24.46","119.40M","-4.78%"
"03/01/2024","27.00","26.53","27.00","24.52","78.53M","4.25%"
"02/29/2024","25.90","29.77","30.71","25.06","133.15M","-16.53%"
"02/28/2024","31.03","32.30","34.09","29.47","179.65M","2.38%"
"02/27/2024","30.31","31.74","32.87","28.22","116.89M","3.84%"
"02/26/2024","29.19","24.41","29.82","24.41","106.55M","21.68%"
"02/23/2024","23.99","23.63","24.63","23.05","42.06M","-2.32%"
"02/22/2024","24.56","23.26","25.11","22.67","53.00M","7.25%"
"02/21/2024","22.90","22.91","23.94","22.76","44.86M","-6.57%"
"02/20/2024","24.51","26.94","27.40","22.89","72.62M","-9.02%"
"02/16/2024","26.94","28.06","28.64","26.25","58.43M","-0.30%"
"02/15/2024","27.02","30.00","30.45","26.16","97.86M","-8.13%"
"02/14/2024","29.41","29.03","29.73","28.11","79.21M","14.35%"
"02/13/2024","25.72","24.40","26.40","24.10","77.12M","-5.72%"
"02/12/2024","27.28","23.60","27.55","23.60","102.36M","14.19%"
"02/09/2024","23.89","23.68","24.36","22.50","117.14M","10.70%"
"02/08/2024","21.58","18.66","21.62","18.26","106.86M","23.03%"
"02/07/2024","17.54","16.85","17.60","16.14","53.17M","2.81%"
"02/06/2024","17.06","16.66","17.50","16.40","39.21M","2.52%"
"02/05/2024","16.64","18.12","18.26","16.62","50.37M","-8.57%"
"02/02/2024","18.20","17.94","19.08","17.83","52.99M","-2.15%"
"02/01/2024","18.60","17.76","18.87","17.14","64.37M","4.91%"
"01/31/2024","17.73","17.46","19.18","17.27","75.53M","-2.10%"
"01/30/2024","18.11","18.44","19.08","17.83","56.46M","-2.21%"
"01/29/2024","18.52","17.96","19.73","17.53","92.58M","3.75%"
"01/26/2024","17.85","17.23","18.45","16.89","87.56M","9.71%"
"01/25/2024","16.27","15.76","16.57","15.57","56.47M","3.96%"
"01/24/2024","15.65","16.60","17.19","15.54","68.89M","-2.86%"
"01/23/2024","16.11","15.79","16.65","15.45","56.60M","-3.01%"
"01/22/2024","16.61","15.52","17.14","15.20","82.48M","2.98%"
"01/19/2024","16.13","15.98","16.48","14.62","110.14M","0.37%"
"01/18/2024","16.07","17.22","18.15","15.96","92.00M","-6.89%"
"01/17/2024","17.26","17.50","17.98","16.62","76.36M","-2.92%"
"01/16/2024","17.78","18.65","19.04","17.18","106.41M","-6.32%"
"01/12/2024","18.98","21.50","22.07","18.76","138.26M","-15.27%"
"01/11/2024","22.40","27.29","29.18","20.75","213.41M","-12.60%"
"01/10/2024","25.63","24.79","27.68","23.78","140.23M","-0.39%"
"01/09/2024","25.73","25.48","26.67","24.75","84.96M","-0.96%"
"01/08/2024","25.98","24.77","26.65","22.62","113.02M","7.71%"
"01/05/2024","24.12","25.48","25.60","23.32","92.25M","-8.18%"
