"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","9.20","10.30","10.36","9.20","22.30M","-10.51%"
"05/09/2024","10.28","10.14","10.45","10.10","11.52M","-0.68%"
"05/08/2024","10.35","9.95","10.36","9.78","14.89M","1.67%"
"05/07/2024","10.18","10.62","10.63","10.01","16.84M","-5.57%"
"05/06/2024","10.78","10.66","11.17","10.59","27.61M","3.65%"
"05/03/2024","10.40","10.61","11.08","10.28","21.68M","0.97%"
"05/02/2024","10.30","10.19","10.44","9.81","21.86M","5.10%"
"05/01/2024","9.80","9.84","10.61","9.66","27.88M","-3.07%"
"04/30/2024","10.11","10.65","10.90","10.00","32.66M","-8.75%"
"04/29/2024","11.08","11.32","11.63","10.97","23.72M","-7.12%"
"04/26/2024","11.93","11.95","12.44","11.81","23.77M","-1.49%"
"04/25/2024","12.11","11.15","12.13","10.88","38.06M","1.94%"
"04/24/2024","11.88","11.80","12.65","11.71","49.64M","0.25%"
"04/23/2024","11.85","11.11","12.17","11.04","49.37M","5.43%"
"04/22/2024","11.24","9.75","11.27","9.58","56.11M","23.11%"
"04/19/2024","9.13","8.55","9.15","8.48","25.74M","10.13%"
"04/18/2024","8.29","7.91","8.42","7.80","17.40M","4.02%"
"04/17/2024","7.97","8.12","8.38","7.94","17.23M","-1.12%"
"04/16/2024","8.06","8.39","8.41","7.89","21.28M","-5.95%"
"04/15/2024","8.57","9.00","9.22","8.50","17.60M","-5.82%"
"04/12/2024","9.10","9.68","9.69","8.97","17.08M","-6.67%"
"04/11/2024","9.75","9.80","9.91","9.65","16.38M","-1.22%"
"04/10/2024","9.87","9.71","10.11","9.61","15.50M","-1.30%"
"04/09/2024","10.00","9.95","10.23","9.81","14.74M","-0.50%"
"04/08/2024","10.05","10.63","10.76","9.86","20.71M","-1.47%"
"04/05/2024","10.20","10.00","10.46","9.89","17.42M","0.10%"
"04/04/2024","10.19","10.60","10.82","10.10","21.86M","-0.97%"
"04/03/2024","10.29","10.62","10.74","10.26","19.44M","-3.02%"
"04/02/2024","10.61","10.90","10.92","10.48","19.96M","-7.50%"
"04/01/2024","11.47","12.05","12.28","11.35","18.20M","-6.29%"
"03/28/2024","12.24","12.41","13.12","12.14","27.99M","0.00%"
"03/27/2024","12.24","12.35","12.49","11.71","18.50M","1.58%"
"03/26/2024","12.05","12.46","12.58","11.95","18.33M","-3.14%"
"03/25/2024","12.44","11.60","12.55","11.59","25.91M","9.12%"
"03/22/2024","11.40","11.74","11.81","11.33","15.49M","-4.84%"
"03/21/2024","11.98","12.43","12.62","11.93","21.70M","-3.39%"
"03/20/2024","12.40","11.75","12.43","11.20","27.51M","11.81%"
"03/19/2024","11.09","10.99","11.28","10.49","16.99M","-2.97%"
"03/18/2024","11.43","11.45","11.84","11.07","16.42M","-1.47%"
"03/15/2024","11.60","10.74","11.83","10.66","25.97M","6.13%"
"03/14/2024","10.93","11.50","11.53","10.60","21.49M","-6.82%"
"03/13/2024","11.73","11.67","12.19","11.64","19.32M","0.95%"
"03/12/2024","11.62","11.85","11.91","11.30","20.82M","-1.36%"
"03/11/2024","11.78","12.83","12.90","11.73","26.59M","-4.62%"
"03/08/2024","12.35","12.03","13.20","12.02","28.61M","3.17%"
"03/07/2024","11.97","12.04","12.36","11.75","21.04M","-1.24%"
"03/06/2024","12.12","12.96","13.02","11.99","25.87M","-1.06%"
"03/05/2024","12.25","12.97","13.53","11.94","33.59M","-9.12%"
"03/04/2024","13.48","14.83","14.99","13.13","38.48M","-6.65%"
"03/01/2024","14.44","14.29","14.47","13.48","22.85M","2.27%"
"02/29/2024","14.12","15.68","15.82","13.71","39.22M","-9.78%"
"02/28/2024","15.65","17.44","17.59","15.23","59.44M","-6.85%"
"02/27/2024","16.80","18.10","18.36","16.22","43.42M","-3.28%"
"02/26/2024","17.37","14.90","17.45","14.89","38.00M","16.97%"
"02/23/2024","14.85","15.14","15.31","14.33","18.73M","-5.59%"
"02/22/2024","15.73","15.20","15.89","14.93","16.71M","4.17%"
"02/21/2024","15.10","15.16","15.85","15.07","13.41M","-5.86%"
"02/20/2024","16.04","16.54","16.69","15.19","20.92M","-2.49%"
"02/16/2024","16.45","16.65","17.07","15.92","21.61M","-0.48%"
"02/15/2024","16.53","17.90","18.24","16.14","36.62M","-6.19%"
"02/14/2024","17.62","16.99","17.62","16.55","33.34M","14.12%"
"02/13/2024","15.44","14.46","15.84","14.10","25.32M","-3.02%"
"02/12/2024","15.92","14.58","16.35","14.55","40.84M","9.42%"
"02/09/2024","14.55","14.00","14.79","13.56","43.58M","11.49%"
"02/08/2024","13.05","11.82","13.06","11.73","31.09M","15.28%"
"02/07/2024","11.32","10.74","11.40","10.44","14.55M","4.72%"
"02/06/2024","10.81","10.43","10.85","10.25","11.29M","4.55%"
"02/05/2024","10.34","11.21","11.32","10.33","16.14M","-7.76%"
"02/02/2024","11.21","11.00","11.40","10.92","13.33M","-0.80%"
"02/01/2024","11.30","10.90","11.44","10.56","18.41M","3.67%"
"01/31/2024","10.90","11.06","11.60","10.87","17.59M","-3.88%"
"01/30/2024","11.34","11.55","11.73","11.19","15.88M","-1.82%"
"01/29/2024","11.55","11.41","12.13","11.23","30.93M","1.76%"
"01/26/2024","11.35","11.24","11.56","10.90","25.00M","6.77%"
"01/25/2024","10.63","10.15","10.65","9.99","19.02M","5.56%"
"01/24/2024","10.07","10.63","10.92","10.00","21.49M","-2.99%"
"01/23/2024","10.38","10.24","10.59","9.93","19.18M","-2.08%"
"01/22/2024","10.60","10.03","11.06","9.84","27.72M","3.01%"
"01/19/2024","10.29","10.33","10.39","9.64","31.71M","-0.39%"
"01/18/2024","10.33","10.91","11.17","10.23","27.34M","-4.97%"
"01/17/2024","10.87","11.00","11.13","10.65","22.71M","-3.72%"
"01/16/2024","11.29","11.51","11.85","10.92","27.24M","-3.75%"
"01/12/2024","11.73","12.76","12.76","11.72","44.45M","-10.39%"
"01/11/2024","13.09","16.64","17.02","12.83","71.58M","-15.82%"
"01/10/2024","15.55","15.20","16.31","14.77","38.22M","-1.21%"
"01/09/2024","15.74","15.90","16.17","15.52","22.88M","-1.69%"
