"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2024","2.230","2.410","2.490","2.220","11.28M","-5.51%"
"05/09/2024","2.360","2.300","2.396","2.260","6.79M","1.29%"
"05/08/2024","2.330","2.270","2.330","2.150","9.34M","0.00%"
"05/07/2024","2.330","2.390","2.420","2.300","9.22M","-3.52%"
"05/06/2024","2.415","2.260","2.480","2.250","14.81M","10.53%"
"05/03/2024","2.185","2.260","2.310","2.160","10.92M","0.69%"
"05/02/2024","2.170","2.270","2.270","2.090","8.73M","2.36%"
"05/01/2024","2.120","2.130","2.275","2.030","16.24M","-2.30%"
"04/30/2024","2.170","2.240","2.290","2.160","11.73M","-6.87%"
"04/29/2024","2.330","2.370","2.500","2.280","17.22M","-5.67%"
"04/26/2024","2.470","2.470","2.510","2.370","8.79M","-0.80%"
"04/25/2024","2.490","2.390","2.510","2.320","12.73M","-1.19%"
"04/24/2024","2.520","2.700","2.750","2.520","16.72M","-7.01%"
"04/23/2024","2.710","2.480","2.790","2.420","21.29M","5.04%"
"04/22/2024","2.580","2.368","2.610","2.270","24.19M","12.66%"
"04/19/2024","2.290","2.200","2.310","2.110","14.36M","7.51%"
"04/18/2024","2.130","2.000","2.220","1.955","12.03M","8.67%"
"04/17/2024","1.960","1.900","2.070","1.880","10.81M","4.53%"
"04/16/2024","1.875","1.880","1.928","1.820","12.10M","-3.35%"
"04/15/2024","1.940","2.020","2.110","1.920","11.10M","-4.90%"
"04/12/2024","2.040","2.130","2.150","2.000","9.99M","-4.67%"
"04/11/2024","2.140","2.200","2.226","2.050","14.27M","-1.83%"
"04/10/2024","2.180","2.160","2.280","2.080","10.81M","-1.80%"
"04/09/2024","2.220","2.260","2.350","2.170","13.52M","-0.45%"
"04/08/2024","2.230","2.490","2.590","2.200","31.18M","-5.11%"
"04/05/2024","2.350","2.300","2.430","2.270","9.51M","-0.84%"
"04/04/2024","2.370","2.410","2.620","2.350","19.07M","1.72%"
"04/03/2024","2.330","2.340","2.400","2.240","11.19M","0.00%"
"04/02/2024","2.330","2.280","2.400","2.210","11.14M","-4.12%"
"04/01/2024","2.430","2.610","2.610","2.360","15.47M","-7.60%"
"03/28/2024","2.630","2.760","2.930","2.590","33.32M","-2.59%"
"03/27/2024","2.700","2.580","2.740","2.434","23.41M","9.76%"
"03/26/2024","2.460","2.580","2.610","2.420","19.32M","-4.28%"
"03/25/2024","2.570","2.570","2.840","2.520","31.54M","4.47%"
"03/22/2024","2.460","2.320","2.600","2.240","29.94M","3.36%"
"03/21/2024","2.380","2.310","2.520","2.233","35.97M","2.15%"
"03/20/2024","2.330","1.710","2.330","1.700","40.49M","35.47%"
"03/19/2024","1.720","1.680","1.790","1.570","12.23M","-0.58%"
"03/18/2024","1.730","1.760","1.830","1.700","12.68M","-2.81%"
"03/15/2024","1.780","1.660","1.830","1.625","13.22M","6.59%"
"03/14/2024","1.670","1.710","1.730","1.610","13.75M","-4.02%"
"03/13/2024","1.740","1.750","1.840","1.700","13.90M","-1.14%"
"03/12/2024","1.760","1.820","1.820","1.690","12.90M","-3.30%"
"03/11/2024","1.820","2.070","2.090","1.800","18.46M","-9.45%"
"03/08/2024","2.010","1.870","2.120","1.850","21.64M","9.24%"
"03/07/2024","1.840","1.830","1.890","1.750","12.16M","-1.60%"
"03/06/2024","1.870","1.770","1.920","1.710","14.56M","8.41%"
"03/05/2024","1.725","1.850","1.980","1.700","19.41M","-9.69%"
"03/04/2024","1.910","2.140","2.185","1.870","24.65M","-6.83%"
"03/01/2024","2.050","1.900","2.050","1.793","13.98M","9.33%"
"02/29/2024","1.875","2.190","2.203","1.850","26.20M","-10.71%"
"02/28/2024","2.100","2.360","2.390","2.060","30.33M","-8.70%"
"02/27/2024","2.300","2.530","2.585","2.200","29.72M","-1.71%"
"02/26/2024","2.340","2.050","2.380","2.050","28.17M","15.27%"
"02/23/2024","2.030","2.080","2.100","1.910","16.04M","-5.14%"
"02/22/2024","2.140","2.220","2.260","2.120","20.85M","-1.83%"
"02/21/2024","2.180","2.200","2.310","2.170","12.91M","-8.02%"
"02/20/2024","2.370","2.520","2.555","2.190","21.86M","-4.82%"
"02/16/2024","2.490","2.480","2.690","2.380","24.73M","1.22%"
"02/15/2024","2.460","2.670","2.725","2.320","32.88M","0.00%"
"02/14/2024","2.460","2.480","2.520","2.355","23.80M","12.33%"
"02/13/2024","2.190","2.140","2.350","2.070","17.06M","-8.18%"
"02/12/2024","2.385","2.220","2.480","2.210","30.36M","8.41%"
"02/09/2024","2.200","2.240","2.275","2.110","32.18M","8.37%"
"02/08/2024","2.030","1.820","2.070","1.810","29.95M","18.02%"
"02/07/2024","1.720","1.690","1.740","1.565","13.98M","1.47%"
"02/06/2024","1.695","1.600","1.710","1.550","7.28M","8.65%"
"02/05/2024","1.560","1.770","1.785","1.550","11.53M","-12.36%"
"02/02/2024","1.780","1.760","1.870","1.720","11.95M","-2.73%"
"02/01/2024","1.830","1.710","1.837","1.670","9.39M","9.58%"
"01/31/2024","1.670","1.800","1.900","1.665","18.73M","-11.17%"
"01/30/2024","1.880","1.910","2.020","1.830","17.35M","0.00%"
"01/29/2024","1.880","1.730","1.930","1.675","19.52M","11.24%"
"01/26/2024","1.690","1.610","1.750","1.580","17.40M","11.18%"
"01/25/2024","1.520","1.470","1.550","1.430","10.34M","5.56%"
"01/24/2024","1.440","1.480","1.570","1.430","11.12M","0.70%"
"01/23/2024","1.430","1.370","1.480","1.360","11.54M","-1.38%"
"01/22/2024","1.450","1.330","1.500","1.290","13.68M","5.07%"
"01/19/2024","1.380","1.320","1.410","1.240","20.17M","5.34%"
"01/18/2024","1.310","1.460","1.520","1.300","17.49M","-8.07%"
"01/17/2024","1.425","1.460","1.540","1.415","10.92M","-5.32%"
"01/16/2024","1.505","1.630","1.630","1.450","22.17M","-11.47%"
"01/12/2024","1.700","1.840","1.860","1.640","26.50M","-11.46%"
"01/11/2024","1.920","2.440","2.460","1.840","41.92M","-9.43%"
"01/10/2024","2.120","1.970","2.260","1.960","21.76M","4.43%"
"01/09/2024","2.030","2.050","2.160","1.950","17.78M","-1.46%"
"01/08/2024","2.060","1.950","2.130","1.790","24.11M","6.74%"
"01/05/2024","1.930","2.120","2.130","1.880","22.20M","-11.87%"
"01/04/2024","2.190","2.270","2.350","2.092","25.88M","1.86%"
"01/03/2024","2.150","2.040","2.305","1.950","31.14M","-6.52%"
"01/02/2024","2.300","2.930","2.940","2.230","36.73M","-4.17%"
"12/29/2023","2.400","3.050","3.110","2.270","55.37M","-20.53%"
"12/28/2023","3.020","2.900","3.170","2.780","57.54M","4.86%"
"12/27/2023","2.880","2.480","2.900","2.430","50.41M","29.73%"
"12/26/2023","2.220","2.160","2.260","2.080","23.46M","3.26%"
"12/22/2023","2.150","2.110","2.250","1.979","33.50M","3.37%"
"12/21/2023","2.080","2.090","2.125","1.980","21.68M","6.67%"
"12/20/2023","1.950","2.225","2.270","1.940","37.16M","-1.52%"
"12/19/2023","1.980","1.910","2.160","1.890","29.78M","9.39%"
"12/18/2023","1.810","1.690","1.985","1.690","21.37M","1.69%"
"12/15/2023","1.780","1.740","1.810","1.650","18.88M","0.00%"
"12/14/2023","1.780","1.720","1.819","1.670","15.80M","9.20%"
"12/13/2023","1.630","1.460","1.640","1.405","17.41M","12.80%"
"12/12/2023","1.445","1.510","1.520","1.420","11.10M","1.76%"
"12/11/2023","1.420","1.720","1.720","1.370","19.85M","-22.40%"
"12/08/2023","1.830","1.610","1.850","1.605","20.54M","13.66%"
"12/07/2023","1.610","1.560","1.650","1.480","10.21M","1.26%"
"12/06/2023","1.590","1.630","1.670","1.565","11.91M","2.58%"
"12/05/2023","1.550","1.600","1.720","1.510","19.62M","0.65%"
"12/04/2023","1.540","1.670","1.690","1.460","23.56M","12.41%"
"12/01/2023","1.370","1.190","1.370","1.160","13.87M","18.10%"
"11/30/2023","1.160","1.230","1.240","1.160","7.38M","-5.69%"
"11/29/2023","1.230","1.280","1.310","1.220","8.26M","-1.60%"
"11/28/2023","1.250","1.220","1.310","1.210","11.53M","4.17%"
"11/27/2023","1.200","1.230","1.290","1.190","7.65M","-4.76%"
"11/24/2023","1.260","1.100","1.290","1.070","8.65M","14.55%"
"11/22/2023","1.100","1.080","1.120","1.010","6.56M","1.85%"
"11/21/2023","1.080","1.120","1.140","1.070","4.69M","-5.26%"
"11/20/2023","1.140","1.100","1.170","1.080","9.23M","7.55%"
"11/17/2023","1.060","1.050","1.090","1.010","4.32M","2.91%"
"11/16/2023","1.030","1.080","1.100","1.020","4.06M","-5.50%"
"11/15/2023","1.090","0.980","1.110","0.941","5.97M","13.25%"
"11/14/2023","0.962","0.972","1.010","0.907","7.73M","-4.70%"
"11/13/2023","1.010","0.971","1.040","0.915","6.11M","2.98%"
"11/10/2023","0.981","0.961","1.000","0.891","7.97M","4.60%"
"11/09/2023","0.938","1.080","1.140","0.920","11.99M","-3.79%"
"11/08/2023","0.975","1.040","1.040","0.970","4.55M","-7.18%"
"11/07/2023","1.050","1.080","1.110","0.980","10.48M","-0.94%"
"11/06/2023","1.060","1.170","1.176","1.040","7.47M","-7.83%"
"11/03/2023","1.150","1.110","1.200","1.100","9.47M","1.77%"
"11/02/2023","1.130","1.140","1.185","1.110","11.56M","2.73%"
"11/01/2023","1.100","1.130","1.160","1.060","6.14M","-0.90%"
"10/31/2023","1.110","1.130","1.150","1.050","5.77M","-0.89%"
"10/30/2023","1.120","1.160","1.270","1.070","9.24M","0.00%"
"10/27/2023","1.120","1.190","1.230","1.110","5.52M","-2.61%"
"10/26/2023","1.150","1.160","1.240","1.110","7.83M","-5.74%"
"10/25/2023","1.220","1.260","1.370","1.220","8.64M","-2.40%"
"10/24/2023","1.250","1.380","1.405","1.190","20.36M","4.17%"
"10/23/2023","1.200","1.180","1.290","1.110","12.82M","9.09%"
"10/20/2023","1.100","1.190","1.250","1.080","7.34M","0.92%"
"10/19/2023","1.090","1.150","1.200","1.080","5.77M","-4.39%"
"10/18/2023","1.140","1.300","1.310","1.130","5.37M","-8.06%"
"10/17/2023","1.240","1.120","1.290","1.100","5.59M","9.73%"
"10/16/2023","1.130","1.110","1.190","1.055","5.76M","10.78%"
"10/13/2023","1.020","1.020","1.060","1.000","2.50M","0.00%"
"10/12/2023","1.020","1.070","1.080","1.010","3.07M","-5.56%"
"10/11/2023","1.080","1.120","1.130","1.040","3.55M","-3.57%"
"10/10/2023","1.120","1.130","1.210","1.100","4.78M","-1.75%"
"10/09/2023","1.140","1.150","1.210","1.110","3.93M","-3.39%"
"10/06/2023","1.180","1.000","1.180","0.960","6.50M","14.56%"
"10/05/2023","1.030","1.120","1.137","1.010","4.43M","-7.21%"
"10/04/2023","1.110","1.070","1.150","1.030","4.54M","3.74%"
"10/03/2023","1.070","1.150","1.160","1.050","5.69M","-10.08%"
"10/02/2023","1.190","1.420","1.485","1.170","10.34M","-5.56%"
"09/29/2023","1.260","1.330","1.360","1.210","6.71M","-3.82%"
"09/28/2023","1.310","1.250","1.385","1.239","6.88M","3.97%"
"09/27/2023","1.260","1.330","1.350","1.210","4.18M","0.00%"
"09/26/2023","1.260","1.370","1.370","1.240","4.77M","-8.03%"
"09/25/2023","1.370","1.330","1.420","1.320","2.92M","-0.72%"
"09/22/2023","1.380","1.480","1.535","1.365","3.99M","-5.48%"
"09/21/2023","1.460","1.490","1.510","1.430","4.78M","-3.95%"
